Publication Number,Kind Code,Title,Assignee,Innography URL,First IP Classification,First CP Classification,First US Classification,Application Publication Date,Grant Date,Publish Date,Priority Date,Filed Date,Est. Expiration Date,Earliest Published Date - Simple Family,Earliest Published Date - Extended Family,Inventors
US20100332754,A1,"System and method for caching multimedia data","Corel Corporation",https://patentscout.innography.com/share/lA28rAf2izqyeZUjuFbqcg%3D%3D,G06F01208000,G06F0012080200,711118000,2010-12-30,2014-12-30,2010-12-30,2003-04-09,2010-08-31,2014-12-30,2004-10-14,2004-10-14,"Lai, Yung-hsiao|Hung, Andy Chao"
US8924643,B2,"System and method for caching multimedia data","Corel Corporation",https://patentscout.innography.com/share/gGZNrv94ToQuy8FGm2Nbrg%3D%3D,G06F01300000,G06F0012080200,711118000,2010-12-30,2014-12-30,2014-12-30,2003-04-09,2010-08-31,2022-12-30,2004-10-14,2004-10-14,"Lai, Yung-hsiao|Hung, Andy Chao"
US20220197508,A1,"Associating data types with stream identifiers for mapping onto sequentially-written memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/XICwj7QcfDTFy4OnsRxymA%3D%3D,G06F00306000,G06F0003064000,711004000,2022-06-23,2023-03-14,2022-06-23,2020-12-17,2020-12-17,2023-03-14,2022-06-21,2022-06-21,"Kanteti, Kumar Vkh"
CN114647376,A,"Association data type and stream identifier for mapping to sequential write memory device","Micron Technology Inc.",https://patentscout.innography.com/share/93VVryaGN2ullDRKxOyWmg%3D%3D,G06F00306000,G06F0003064000,711004000,2022-06-21,2025-01-10,2022-06-21,2020-12-17,2021-12-17,2025-01-10,2022-06-21,2022-06-21,"Kanteti, Kiran V"
US11604591,B2,"Associating data types with stream identifiers for mapping onto sequentially-written memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/a_CYBR0CAZgm9RxkFMI4hw%3D%3D,G06F00306000,G06F0003064000,711004000,2022-06-23,2023-03-14,2023-03-14,2020-12-17,2020-12-17,2041-06-01,2022-06-21,2022-06-21,"Kanteti, Kumar V K H"
US20230244398,A1,"Associating data types with stream identifiers for mapping onto sequentially-written memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/_uhhV0iJ9edkNopjlO8_3A%3D%3D,G06F00306000,G06F0003064000,711004000,2023-08-03,2024-10-01,2023-08-03,2020-12-17,2023-02-23,2024-10-01,2022-06-21,2022-06-21,"Kanteti, Kumar Vkh"
US12105974,B2,"Associating data types with stream identifiers for mapping onto sequentially-written memory devices","Micron Technology, Inc.",https://patentscout.innography.com/share/xVpZKQe8uxUbA4pAxTEyYw%3D%3D,G06F00306000,G06F0003064000,711004000,2023-08-03,2024-10-01,2024-10-01,2020-12-17,2023-02-23,2040-12-17,2022-06-21,2022-06-21,"Kanteti, Kumar V K H"
US20210334216,A1,"Methods for managing storage systems with dual-port solid-state disks accessible by multiple hosts and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/mRIo4TT8JeWV227wRUhO8A%3D%3D,G06F01210090,G06F0012100900,713340000,2021-10-28,2022-07-12,2021-10-28,2020-04-22,2020-04-22,2022-07-12,2021-10-28,2021-10-28,"Gole, Abhijeet|Gupta, Ratnesh|Doucette, Douglas"
US11386015,B2,"Methods for managing storage systems with dualport solid-state disks accessible by multiple hosts and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/wiDfTm-_Sbvgc3ffLhNE9Q%3D%3D,G06F01210000,G06F0012100900,345568000,2021-10-28,2022-07-12,2022-07-12,2020-04-22,2020-04-22,2040-04-22,2021-10-28,2021-10-28,"Gole, Abhijeet|Gupta, Ratnesh|Doucette, Douglas"
US20220292031,A1,"Methods for managing storage systems with dual-port solid-state disks accessible by multiple hosts and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/MjyH1IuEaDaQeIm7B338RA%3D%3D,G06F01210090,G06F0012100900,713340000,2022-09-15,2023-07-25,2022-09-15,2020-04-22,2022-05-31,2023-07-25,2021-10-28,2021-10-28,"Gole, Abhijeet|Gupta, Ratnesh|Doucette, Douglas"
US11709780,B2,"Methods for managing storage systems with dual-port solid-state disks accessible by multiple hosts and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/NpJWj7MdNKKNR7DgLmyWWA%3D%3D,G06F01210000,G06F0012100900,345568000,2022-09-15,2023-07-25,2023-07-25,2020-04-22,2022-05-31,2040-04-22,2021-10-28,2021-10-28,"Gole, Abhijeet|Gupta, Ratnesh|Doucette, Douglas"
US20230259460,A1,"Methods for managing storage systems with dual-port solid-state disks accessible by multiple hosts and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/0lNCOHjCR2bAUzh79EDceQ%3D%3D,G06F01210090,G06F0012100900,713340000,2023-08-17,2024-07-30,2023-08-17,2020-04-22,2023-04-28,2024-07-30,2021-10-28,2021-10-28,"Gole, Abhijeet|Gupta, Ratnesh|Doucette, Douglas"
US12050540,B2,"Methods for managing storage systems with dual-port solid-state disks accessible by multiple hosts and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/7wtL-SEUgR831aWyrykGHw%3D%3D,G06F01210000,G06F0012100900,345568000,2023-08-17,2024-07-30,2024-07-30,2020-04-22,2023-04-28,2040-04-22,2021-10-28,2021-10-28,"Gole, Abhijeet|Gupta, Ratnesh|Doucette, Douglas"
US9361044,B2,"Power-safe data management system","Western Digital Technologies, Inc.",https://patentscout.innography.com/share/-VsgkpcX1fL__lhR2Rljjg%3D%3D,G06F01200000,G06F0012080400,710244000,2012-10-04,2016-06-07,2016-06-07,2011-03-28,2011-03-28,2034-03-28,2012-10-04,2012-10-04,"Chiu, Lyndon S.|Adi, Frederick H."
US20200042244,A1,"Method for performing storage control in a storage server, associated memory device and memory controller thereof, and associated storage server","Silicon Motion Inc.",https://patentscout.innography.com/share/uOlA0ufIlgt5eNz4s51yMw%3D%3D,G06F00306000,G06F0003068900,711004000,2020-02-06,2021-01-05,2020-02-06,2018-08-06,2019-03-07,2021-01-05,2020-02-06,2020-02-06,"Yang, Tsung-chieh"
CN110806839,A,"Method of memory control, memory device, memory controller and storage server","Silicon Motion Inc.",https://patentscout.innography.com/share/OYshJycGLldhRydpcntmig%3D%3D,G06F00306000,G06F0003068900,711004000,2020-02-18,2023-06-20,2020-02-18,2018-08-06,2019-08-06,2023-06-20,2020-02-06,2020-02-06,"Yang, Tsung-chieh"
US10884662,B2,"Method for performing storage control in a storage server, associated memory device and memory controller thereof, and associated storage server","Silicon Motion Inc.",https://patentscout.innography.com/share/ilsKt8oHnHBuCHXeynrH7w%3D%3D,G06F00306000,G06F0003068900,711004000,2020-02-06,2021-01-05,2021-01-05,2018-08-06,2019-03-07,2039-03-07,2020-02-06,2020-02-06,"Yang, Tsung-chieh"
US20210081147,A1,"Method for performing storage control in a storage server, associated memory device and memory controller thereof, and associated storage server","Silicon Motion, Inc.",https://patentscout.innography.com/share/P7ceZHNtVMLkz277pYj2yA%3D%3D,G06F00306000,G06F0003068900,711004000,2021-03-18,2022-06-21,2021-03-18,2018-08-06,2020-11-26,2022-06-21,2020-02-06,2020-02-06,"Yang, Tsung-chieh"
US11366616,B2,"Method for performing storage control in a storage server, associated memory device and memory controller thereof, and associated storage server","Silicon Motion, Inc.",https://patentscout.innography.com/share/ytfO5SwbyQ54q3uZ5evB8g%3D%3D,G06F00306000,G06F0003068900,711004000,2021-03-18,2022-06-21,2022-06-21,2018-08-06,2020-11-26,2039-03-07,2020-02-06,2020-02-06,"Yang, Tsung-chieh"
US8719521,B1,"Crash-tolerant incremental change tracking between backups of a source storage","Storagecraft, LLC",https://patentscout.innography.com/share/yLRjvpxnSaiXtzVC1eLe4A%3D%3D,G06F00306000,G06F0012024600,711161000,,2014-05-06,2014-05-06,2013-10-25,2013-10-25,2033-10-25,2014-05-06,2014-05-06,"Barnes, Scott|Shatskikh, Maxim|Bushman, Nathan S"
US9471238,B1,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/l64TZGQGJTlbfANT_kvVVQ%3D%3D,G06F01200000,G06F0003062500,710244000,2016-11-03,2016-10-18,2016-10-18,2015-05-01,2016-03-02,2020-10-18,2016-10-18,2016-10-18,"Boden, Ian"
US20160320987,A1,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/-gUoqBciXLQD4DkY74UBnw%3D%3D,G06F00306000,G06F0003062500,711004000,2016-11-03,2017-02-07,2016-11-03,2015-05-01,2015-05-01,2017-02-07,2016-10-18,2016-10-18,"Boden, Ian"
US20160320997,A1,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/w6KZAZJjamqvvh5PvsV52A%3D%3D,G06F00306000,G06F0003062500,711004000,2016-11-03,2016-10-18,2016-11-03,2015-05-01,2016-03-02,2016-10-18,2016-10-18,2016-10-18,"Boden, Ian"
US20160342356,A1,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/xq2b2DFKoO5hn6Y7r5sqFQ%3D%3D,G06F00306000,G06F0003062500,711004000,2016-11-24,2017-03-21,2016-11-24,2015-05-01,2016-08-15,2017-03-21,2016-10-18,2016-10-18,"Boden, Ian"
US20160378386,A1,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/HiVCI92ttDNHAzaCwPFvgA%3D%3D,G06F00306000,G06F0003062500,711004000,2016-12-29,2017-08-29,2016-12-29,2015-05-01,2016-09-15,2017-08-29,2016-10-18,2016-10-18,"Boden, Ian"
US9563376,B2,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/_JLDhVhIWn2GneYZLGc8aQ%3D%3D,G06F01200000,G06F0003062500,710244000,2016-11-03,2017-02-07,2017-02-07,2015-05-01,2015-05-01,2025-02-07,2016-10-18,2016-10-18,"Boden, Ian"
US9600197,B2,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/nDU-2M3LqGP0iyBlz_CD5w%3D%3D,G06F01200000,G06F0003062500,710244000,2016-11-24,2017-03-21,2017-03-21,2015-05-01,2016-08-15,2021-03-21,2016-10-18,2016-10-18,"Boden, Ian"
US9747054,B2,"Low power storage array with metadata access","International Business Machines Corporation",https://patentscout.innography.com/share/YIJTadjFxCHJWxaEkoiiAA%3D%3D,G06F01200000,G06F0003062500,710244000,2016-12-29,2017-08-29,2017-08-29,2015-05-01,2016-09-15,2021-08-29,2016-10-18,2016-10-18,"Boden, Ian"
US20120221771,A1,"Data storage system and data mapping method of the same","Samsung Electronics Co., Ltd.",https://patentscout.innography.com/share/RtFBoLjzkYq_h-7VZR29IQ%3D%3D,G06F01200000,G06F0012024600,711103000,2012-08-30,,2012-08-30,2011-02-25,2012-02-24,2015-01-27,2012-08-30,2012-08-30,"Yoon, Jung-yeon|Jung, Hyun Uk|Kim, Jin Yup|Lim, Seung Ho"
CN102645987,A,"Dragging gesture judging method, touch induction control chip and touch system","Novatek Microelectronics Corp.",https://patentscout.innography.com/share/nHkQmxMPngpJK6Snx0hMtw%3D%3D,G06F00304100,G06F0003041000,178020010,2012-08-22,,2012-08-22,2011-02-16,2011-02-16,2015-04-01,2012-08-22,2012-08-22,"Huihong, Zhang|Junjie, Zhang|Zhizhang, Lai"
US20200034287,A1,"Storage system having a host directly manage physical data locations of storage device","Kioxia Corporation",https://patentscout.innography.com/share/1H7_uH6MWyRqU7T0O2yT4w%3D%3D,G06F01202000,G06F0012024600,345543000,2020-01-30,2021-06-15,2020-01-30,2015-04-28,2019-09-30,2021-06-15,2016-11-03,2016-11-03,"Hashimoto, Daisuke"
US11036628,B2,"Storage system having a host directly manage physical data locations of storage device","Kioxia Corporation",https://patentscout.innography.com/share/5f4CvfW7_DylhSTJngI5QQ%3D%3D,G06F01114000,G06F0012024600,713340000,2020-01-30,2021-06-15,2021-06-15,2015-04-28,2019-09-30,2036-03-07,2016-11-03,2016-11-03,"Hashimoto, Daisuke"
US20210303460,A1,"Storage system having a host directly manage physical data locations of storage device","Kioxia Corporation",https://patentscout.innography.com/share/sFvwYd5uyUKQfr5XcOVM1w%3D%3D,G06F01202000,G06F0012024600,345543000,2021-09-30,2022-11-22,2021-09-30,2015-04-28,2021-06-14,2022-11-22,2016-11-03,2016-11-03,"Hashimoto, Daisuke"
US11507500,B2,"Storage system having a host directly manage physical data locations of storage device","Kioxia Corporation",https://patentscout.innography.com/share/Is9T9aAzWPFWr0OwswJqBQ%3D%3D,G06F01202000,G06F0012024600,345543000,2021-09-30,2022-11-22,2022-11-22,2015-04-28,2021-06-14,2036-03-07,2016-11-03,2016-11-03,"Hashimoto, Daisuke"
US20220291873,A1,"Logical storage device access using datastore-level keys in an encrypted storage environment","Credit Suisse Ag, Cayman Islands Branch",https://patentscout.innography.com/share/-q2vAAzd5ztZWssl5EaNxw%3D%3D,G06F00306000,G06F0003066400,711004000,2022-09-15,2024-03-12,2022-09-15,2021-03-09,2021-03-09,2024-03-12,2022-09-15,2022-09-15,"Anchi, Amit Pundalik|Rao, Vinay G.|Kangyampeta, Srinivas|Tarikere, Madhu"
US11928365,B2,"Logical storage device access using datastore-level keys in an encrypted storage environment","Credit Suisse Ag, Cayman Islands Branch",https://patentscout.innography.com/share/l5sYC1GE95k4MqXv06jm8A%3D%3D,G06F00306000,G06F0003066400,711004000,2022-09-15,2024-03-12,2024-03-12,2021-03-09,2021-03-09,2042-02-05,2022-09-15,2022-09-15,"Anchi, Amit Pundalik|Rao, Vinay G.|Kangyampeta, Srinivas|Tarikere, Madhu"
US20200073586,A1,"Information processor and control method","Hitachi, Ltd.",https://patentscout.innography.com/share/a3p1LUbPbwBsRBiBpB1g4g%3D%3D,G06F00306000,G06F0003065800,711004000,2020-03-05,,2020-03-05,2018-08-31,2019-03-05,2021-07-22,2020-03-05,2020-03-05,"Kurata, Naruki|Fujii, Hiroki|Tsuruya, Masahiro"
US20120246415,A1,"Data merging method for non-volatile memory and controller and storage apparatus using the same","Phison Electronics Corp.",https://patentscout.innography.com/share/w7NBbjGAV3fdfdPwuwaRiw%3D%3D,G06F01200000,G06F0012024600,711154000,2012-09-27,2014-08-19,2012-09-27,2011-03-22,2011-05-16,2014-08-19,2012-09-27,2012-09-27,"Teo, Wei-chen"
US8812772,B2,"Data merging method for non-volatile memory and controller and storage apparatus using the same","Phison Electronics Corp.",https://patentscout.innography.com/share/xI-KbQAOXJcNhkXm1YaqDw%3D%3D,G06F01200000,G06F0012024600,711103000,2012-09-27,2014-08-19,2014-08-19,2011-03-22,2011-05-16,2032-01-03,2012-09-27,2012-09-27,"Teo, Wei-chen"
CN102681669,B,"Dual area keyboard and input method","Liang Chen",https://patentscout.innography.com/share/5fklzhMoLzcjF5MSOteeJg%3D%3D,G06F00302000,G06F0003020000,345172000,2012-09-19,2015-12-16,2015-12-16,2011-02-22,2012-02-22,2022-02-08,2012-09-19,2012-09-19,"Chen, Liang"
US20160342343,A1,"Method and apparatus for controlling data migration in multi-channel memory device","Mediatek Inc.",https://patentscout.innography.com/share/GY-ubj9C_2q3H9DG8sp3Sg%3D%3D,G06F00306000,G06F0003064700,711004000,2016-11-24,2018-06-19,2016-11-24,2015-05-18,2015-06-10,2018-06-19,2016-11-24,2016-11-24,"Yen, Hsueh-bing"
US10002072,B2,"Method and apparatus for controlling data migration in multi-channel memory device","Mediatek Inc.",https://patentscout.innography.com/share/keVo8bt-Qp1Jp4TXAuIR3A%3D%3D,G06F01202000,G06F0003064700,345543000,2016-11-24,2018-06-19,2018-06-19,2015-05-18,2015-06-10,2036-04-02,2016-11-24,2016-11-24,"Yen, Hsueh-bing"
US20180267890,A1,"Method and apparatus for controlling data migration in multi-channel memory device","Mediatek Inc.",https://patentscout.innography.com/share/bKe0f52zH2SgBJ23d2nmMw%3D%3D,G06F01202000,G06F0003064700,345543000,2018-09-20,,2018-09-20,2015-05-18,2018-05-18,2019-02-01,2016-11-24,2016-11-24,"Yen, Hsueh-bing"
CN102722248,A,"Method and realizing device of the shoes to replace keyboard and mouse as the computer peripheral","Song Zijian; Liu Gaofeng",https://patentscout.innography.com/share/-3-KbQ4ZMchGn51tu5Ndog%3D%3D,G06F00301000,G06F0003010000,715701000,2012-10-10,2015-09-16,2012-10-10,2012-06-04,2012-06-04,2015-09-16,2012-10-10,2012-10-10,"Gaofeng, Liu|Zijian, Song|Jianxun, Lv"
CN102722248,B,"Method and realizing device of the shoes to replace keyboard and mouse as the computer peripheral","Song Zijian; Liu Gaofeng",https://patentscout.innography.com/share/AEbZN4jG0Bgnu5wkPVVz-g%3D%3D,G06F00301000,G06F0003010000,715701000,2012-10-10,2015-09-16,2015-09-16,2012-06-04,2012-06-04,2020-06-02,2012-10-10,2012-10-10,"Gaofeng, Liu|Zijian, Song|Jianxun, Lv"
US20160357437,A1,"Log structured block device","Alter Domus (us) LLC, As Agent For The Secured Parties",https://patentscout.innography.com/share/nX8oNrXAkqrEj1b_6zbWBA%3D%3D,G06F00306000,G06F0003067600,711004000,2016-12-08,2017-12-26,2016-12-08,2015-06-02,2015-06-02,2017-12-26,2016-12-08,2016-12-08,"Doerner, Don"
US9851926,B2,"Log structured block device for hard disk drive","Alter Domus (us) LLC, As Agent For The Secured Parties",https://patentscout.innography.com/share/ZHcWwwDvD_TatvbuEqs1-A%3D%3D,G11B00509000,G06F0003067600,235462180,2016-12-08,2017-12-26,2017-12-26,2015-06-02,2015-06-02,2036-06-06,2016-12-08,2016-12-08,"Doerner, Don"
US20180059991,A1,"Log structured block device for hard disk drive","Alter Domus (us) LLC, As Agent For The Secured Parties",https://patentscout.innography.com/share/D_FMcYv9gEhh6M-y_yR3UQ%3D%3D,G06F00306000,G06F0003067600,711004000,2018-03-01,2019-03-19,2018-03-01,2015-06-02,2017-11-06,2019-03-19,2016-12-08,2016-12-08,"Doerner, Don"
US10235101,B2,"Log structured block device for hard disk drive","Alter Domus (us) LLC, As Agent For The Secured Parties",https://patentscout.innography.com/share/07DUBVpNNVDRTt1IFPZEeQ%3D%3D,G06F00306000,G06F0003067600,711004000,2018-03-01,2019-03-19,2019-03-19,2015-06-02,2017-11-06,2023-03-19,2016-12-08,2016-12-08,"Doerner, Don"
US9251064,B2,"Nvram caching and logging in a storage system","Netapp, Inc.",https://patentscout.innography.com/share/00CAaS5rKCL89AphBBYz3g%3D%3D,G06F01200000,G06F0012024600,710244000,2015-07-09,2016-02-02,2016-02-02,2014-01-08,2014-01-08,2034-01-08,2014-11-25,2014-11-25,"Kimmel, Jeffrey S."
CN106201916,A,"A non-volatile cache mechanism facing the ssd","National University Of Defense Technology, Pla",https://patentscout.innography.com/share/BwmqWX-zh_hBte0u-6l2xg%3D%3D,G06F01208000,G06F0012080200,711003000,2016-12-07,2019-03-29,2016-12-07,2016-07-25,2016-07-25,2019-03-29,2016-12-07,2016-12-07,"Xiao, Nong|Gao, Xiang|Chen, Zhiguang|Yang, Meifang"
CN106201916,B,"A volatile cache method facing to ssd","National University Of Defense Technology, Pla",https://patentscout.innography.com/share/qZwLE0JDave3397GwfI8cA%3D%3D,G06F01202000,G06F0012080200,345543000,2016-12-07,2019-03-29,2019-03-29,2016-07-25,2016-07-25,2036-07-24,2016-12-07,2016-12-07,"Xiao, Nong|Gao, Xiang|Chen, Zhiguang|Yang, Meifang"
US20210406174,A1,"Methods for managing storage operations for multiple hosts coupled to dual-port solid-state disks and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/f9J86rcLSs1NP2If403CYQ%3D%3D,G06F01202000,G06F0012029200,345543000,2021-12-30,2022-07-05,2021-12-30,2020-06-25,2020-06-25,2022-07-05,2021-12-30,2021-12-30,"Gole, Abhijeet|Singh, Rohit"
US11379360,B2,"Methods for managing storage operations for multiple hosts coupled to dual-port solid-state disks and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/sZBQ5oTeSUnVvQ4zntigzw%3D%3D,G06F01202000,G06F0012029200,345543000,2021-12-30,2022-07-05,2022-07-05,2020-06-25,2020-06-25,2040-12-05,2021-12-30,2021-12-30,"Gole, Abhijeet|Singh, Rohit"
US20220300419,A1,"Methods for managing storage operations for multiple hosts coupled to dual-port solid-state disks and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/eQ3G3TuXTVuxX1ax3IIn4w%3D%3D,G06F01202000,G06F0012029200,345543000,2022-09-22,2023-05-02,2022-09-22,2020-06-25,2022-06-03,2023-05-02,2021-12-30,2021-12-30,"Gole, Abhijeet|Singh, Rohit"
US11640356,B2,"Methods for managing storage operations for multiple hosts coupled to dual-port solid-state disks and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/lakLniBJstYH8rnQU9NwGA%3D%3D,G06F01202000,G06F0012029200,345543000,2022-09-22,2023-05-02,2023-05-02,2020-06-25,2022-06-03,2040-12-05,2021-12-30,2021-12-30,"Gole, Abhijeet|Singh, Rohit"
US20230393977,A1,"Methods for managing storage operations for multiple hosts coupled to dual-port solid-state disks and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/0ClqyelRW5jMyei3gHzgXw%3D%3D,G06F01202000,G06F0012029200,345543000,2023-12-07,2024-09-10,2023-12-07,2020-06-25,2023-03-14,2024-09-10,2021-12-30,2021-12-30,"Gole, Abhijeet|Singh, Rohit"
US12086059,B2,"Methods for managing storage operations for multiple hosts coupled to dual-port solid-state disks and devices thereof","Netapp, Inc.",https://patentscout.innography.com/share/DVUmLGRe4giTItN9lsz_Dw%3D%3D,G06F01202000,G06F0012029200,345543000,2023-12-07,2024-09-10,2024-09-10,2020-06-25,2023-03-14,2040-06-25,2021-12-30,2021-12-30,"Gole, Abhijeet|Singh, Rohit"
